ST,CTY,NAICS,RCPTOT,ESTAB,Total_RCPTOT,Total_ESTAB,Year
17,15,23,6773,138,5011777,98534,2008
17,15,236,2566,43,2153492,32338,2008
17,15,2361,1737,35,1992913,29421,2008
17,15,237,25,3,127943,1440,2008
17,15,2373,0,0,10893,174,2008
17,15,23731,0,0,10893,174,2008
17,15,2379,0,0,25023,453,2008
17,15,23799,0,0,25023,453,2008
17,15,238,4182,92,2721723,64638,2008
17,15,2381,1002,16,410033,9180,2008
17,15,2382,196,9,488447,10856,2008
17,15,23821,0,0,207942,5156,2008
17,15,23822,0,0,243632,4899,2008
17,15,2383,1590,37,1002502,27217,2008
17,15,2389,1394,30,814810,17245,2008
17,15,484,4842,51,2384304,27955,2008
17,15,4841,4048,45,2257333,26264,2008
17,15,48411,1750,21,658061,8879,2008
17,15,4842,794,6,118178,1580,2008
17,15,4853,0,0,406368,13552,2008
17,17,23,3001,94,5011777,98534,2008
17,17,236,1269,30,2153492,32338,2008
17,17,2361,1168,27,1992913,29421,2008
17,17,237,0,0,127943,1440,2008
17,17,2371,0,0,5381,103,2008
17,17,2372,0,0,70955,441,2008
17,17,23721,0,0,70955,441,2008
17,17,238,1559,62,2721723,64638,2008
17,17,2381,371,10,410033,9180,2008
17,17,2382,116,6,488447,10856,2008
17,17,23822,116,6,243632,4899,2008
17,17,2383,373,22,1002502,27217,2008
17,17,2389,699,24,814810,17245,2008
17,17,484,4667,45,2384304,27955,2008
17,17,4841,4666,44,2257333,26264,2008
17,17,48411,654,9,658061,8879,2008
17,17,4842,0,0,118178,1580,2008
17,17,4853,0,0,406368,13552,2008
17,19,23,51571,972,5011777,98534,2008
17,19,236,19888,234,2153492,32338,2008
17,19,2361,18021,212,1992913,29421,2008
17,19,237,2910,23,127943,1440,2008
17,19,2371,0,0,5381,103,2008
17,19,2372,1575,9,70955,441,2008
17,19,23721,1575,9,70955,441,2008
17,19,2373,0,0,10893,174,2008
17,19,23731,0,0,10893,174,2008
17,19,2379,497,7,25023,453,2008
17,19,23799,497,7,25023,453,2008
17,19,238,28773,715,2721723,64638,2008
17,19,2381,2685,98,410033,9180,2008
17,19,2382,4386,100,488447,10856,2008
17,19,23821,2134,47,207942,5156,2008
17,19,23822,2177,48,243632,4899,2008
17,19,23829,0,0,23007,513,2008
17,19,2383,11369,309,1002502,27217,2008
17,19,2389,10333,208,814810,17245,2008
17,19,484,22110,225,2384304,27955,2008
17,19,4841,21362,213,2257333,26264,2008
17,19,48411,8817,88,658061,8879,2008
17,19,4842,748,12,118178,1580,2008
17,19,4853,338,15,406368,13552,2008
17,21,23,10110,262,5011777,98534,2008
17,21,236,3770,65,2153492,32338,2008
17,21,2361,3488,56,1992913,29421,2008
17,21,237,0,0,127943,1440,2008
17,21,2371,0,0,5381,103,2008
17,21,2373,0,0,10893,174,2008
17,21,23731,0,0,10893,174,2008
17,21,2379,0,0,25023,453,2008
17,21,23799,0,0,25023,453,2008
17,21,238,5973,190,2721723,64638,2008
17,21,2381,716,25,410033,9180,2008
17,21,2382,1670,38,488447,10856,2008
17,21,23821,0,0,207942,5156,2008
17,21,23822,939,14,243632,4899,2008
17,21,23829,0,0,23007,513,2008
17,21,2383,2017,66,1002502,27217,2008
17,21,2389,1570,61,814810,17245,2008
17,21,484,10134,96,2384304,27955,2008
17,21,4841,9565,88,2257333,26264,2008
17,21,48411,4722,42,658061,8879,2008
17,21,4842,569,8,118178,1580,2008
17,21,4853,123,4,406368,13552,2008
17,23,23,5182,150,5011777,98534,2008
17,23,236,1665,43,2153492,32338,2008
17,23,2361,1601,38,1992913,29421,2008
17,23,237,0,0,127943,1440,2008
17,23,2373,0,0,10893,174,2008
17,23,23731,0,0,10893,174,2008
17,23,2379,0,0,25023,453,2008
17,23,23799,0,0,25023,453,2008
17,23,238,3128,102,2721723,64638,2008
17,23,2381,395,14,410033,9180,2008
17,23,2382,658,17,488447,10856,2008
17,23,23821,385,6,207942,5156,2008
17,23,23822,271,10,243632,4899,2008
17,23,23829,0,0,23007,513,2008
17,23,2383,849,33,1002502,27217,2008
17,23,2389,1226,38,814810,17245,2008
17,23,484,4788,56,2384304,27955,2008
17,23,4841,4545,54,2257333,26264,2008
17,23,48411,831,17,658061,8879,2008
17,23,4842,0,0,118178,1580,2008
17,25,23,4400,141,5011777,98534,2008
17,25,236,599,36,2153492,32338,2008
17,25,2361,504,29,1992913,29421,2008
17,25,237,97,6,127943,1440,2008
17,25,2371,0,0,5381,103,2008
17,25,2373,0,0,10893,174,2008
17,25,23731,0,0,10893,174,2008
17,25,2379,62,3,25023,453,2008
17,25,23799,62,3,25023,453,2008
17,25,238,3704,99,2721723,64638,2008
17,25,2381,0,0,410033,9180,2008
17,25,2382,658,27,488447,10856,2008
17,25,23821,404,15,207942,5156,2008
17,25,23822,226,10,243632,4899,2008
17,25,23829,0,0,23007,513,2008
17,25,2383,1553,30,1002502,27217,2008
17,25,2389,1308,30,814810,17245,2008
17,25,484,4206,45,2384304,27955,2008
17,25,4841,3977,42,2257333,26264,2008
17,25,48411,0,0,658061,8879,2008
17,25,4842,0,0,118178,1580,2008
17,25,4853,0,0,406368,13552,2008
17,27,23,13043,280,5011777,98534,2008
17,27,236,5703,83,2153492,32338,2008
17,27,2361,5168,67,1992913,29421,2008
17,27,237,604,12,127943,1440,2008
17,27,2372,354,6,70955,441,2008
17,27,23721,354,6,70955,441,2008
17,27,2379,0,0,25023,453,2008
17,27,23799,0,0,25023,453,2008
17,27,238,6736,185,2721723,64638,2008
17,27,2381,1538,34,410033,9180,2008
17,27,2382,1559,31,488447,10856,2008
17,27,23821,444,13,207942,5156,2008
17,27,23822,1072,17,243632,4899,2008
17,27,23829,0,0,23007,513,2008
17,27,2383,2333,69,1002502,27217,2008
17,27,2389,1306,51,814810,17245,2008
17,27,484,9280,77,2384304,27955,2008
17,27,4841,8883,70,2257333,26264,2008
17,27,48411,2695,25,658061,8879,2008
17,27,4842,397,7,118178,1580,2008
17,27,4853,20,3,406368,13552,2008
17,29,23,10111,333,5011777,98534,2008
17,29,236,3319,88,2153492,32338,2008
17,29,2361,2484,69,1992913,29421,2008
17,29,237,150,4,127943,1440,2008
17,29,2371,0,0,5381,103,2008
17,29,2373,0,0,10893,174,2008
17,29,23731,0,0,10893,174,2008
17,29,2379,0,0,25023,453,2008
17,29,23799,0,0,25023,453,2008
17,29,238,6642,241,2721723,64638,2008
17,29,2381,943,37,410033,9180,2008
17,29,2382,1083,33,488447,10856,2008
17,29,23821,0,0,207942,5156,2008
17,29,23822,660,20,243632,4899,2008
17,29,23829,0,0,23007,513,2008
17,29,2383,2185,91,1002502,27217,2008
17,29,2389,2431,80,814810,17245,2008
17,29,484,9723,83,2384304,27955,2008
17,29,4841,9458,81,2257333,26264,2008
17,29,48411,1130,26,658061,8879,2008
17,29,4842,0,0,118178,1580,2008
17,29,4853,0,0,406368,13552,2008
17,31,23,2181831,44066,5011777,98534,2008
17,31,236,1055150,17207,2153492,32338,2008
17,31,2361,996007,16090,1992913,29421,2008
17,31,237,23335,367,127943,1440,2008
17,31,2371,2345,55,5381,103,2008
17,31,2372,11445,97,70955,441,2008
17,31,23721,11445,97,70955,441,2008
17,31,2373,3024,70,10893,174,2008
17,31,23731,3024,70,10893,174,2008
17,31,2379,6521,145,25023,453,2008
17,31,23799,6521,145,25023,453,2008
17,31,238,1103346,26492,2721723,64638,2008
17,31,2381,159166,3665,410033,9180,2008
17,31,2382,215683,4913,488447,10856,2008
17,31,23821,103785,2563,207942,5156,2008
17,31,23822,101552,2126,243632,4899,2008
17,31,23829,10346,224,23007,513,2008
17,31,2383,450275,12400,1002502,27217,2008
17,31,2389,278222,5514,814810,17245,2008
17,31,484,1024847,13484,2384304,27955,2008
17,31,4841,987289,12873,2257333,26264,2008
17,31,48411,266063,3994,658061,8879,2008
17,31,4842,37558,611,118178,1580,2008
17,31,4853,323820,11285,406368,13552,2008
17,33,23,5950,155,5011777,98534,2008
17,33,236,2441,48,2153492,32338,2008
17,33,2361,1680,43,1992913,29421,2008
17,33,237,0,0,127943,1440,2008
17,33,2373,0,0,10893,174,2008
17,33,23731,0,0,10893,174,2008
17,33,238,3458,106,2721723,64638,2008
17,33,2381,0,0,410033,9180,2008
17,33,2382,449,14,488447,10856,2008
17,33,23821,0,0,207942,5156,2008
17,33,23822,165,4,243632,4899,2008
17,33,23829,0,0,23007,513,2008
17,33,2383,1255,43,1002502,27217,2008
17,33,2389,1398,35,814810,17245,2008
17,33,484,2848,27,2384304,27955,2008
17,33,4841,2085,26,2257333,26264,2008
17,33,48411,268,6,658061,8879,2008
17,33,4842,0,0,118178,1580,2008
17,35,23,3398,114,5011777,98534,2008
17,35,236,1281,38,2153492,32338,2008
17,35,2361,1114,33,1992913,29421,2008
17,35,237,344,8,127943,1440,2008
17,35,2372,0,0,70955,441,2008
17,35,23721,0,0,70955,441,2008
17,35,2379,334,6,25023,453,2008
17,35,23799,334,6,25023,453,2008
17,35,238,1773,68,2721723,64638,2008
17,35,2381,273,11,410033,9180,2008
