"ST","CTY","NAICS","Total_RCPTOT","Total_ESTAB","Year"
17,19,"237",137824,1222,2004
17,19,"2371",1572,48,2004
17,19,"2372",71492,375,2004
17,19,"23721",71492,375,2004
17,19,"2373",4117,89,2004
17,19,"23731",4117,89,2004
17,19,"2379",22994,294,2004
17,19,"23799",22994,294,2004
17,19,"238",2746549,64841,2004
17,19,"2381",482505,10300,2004
17,19,"2382",429541,9846,2004
17,19,"23821",160414,3993,2004
17,19,"23822",200613,4014,2004
17,19,"23829",13532,298,2004
17,19,"2383",1076148,27985,2004
17,19,"2389",756419,16569,2004
17,19,"484",1472722,18906,2004
17,19,"4841",1672228,21229,2004
17,19,"48411",548274,7839,2004
17,19,"4842",97526,1393,2004
17,19,"4853",294644,11060,2004
17,21,"23",5020463,96951,2004
17,21,"236",1868887,25572,2004
17,21,"2361",1708839,22752,2004
17,21,"237",137824,1222,2004
17,21,"2371",1572,48,2004
17,21,"2372",71492,375,2004
17,21,"23721",71492,375,2004
17,21,"2373",4117,89,2004
17,21,"23731",4117,89,2004
17,21,"2379",22994,294,2004
17,21,"23799",22994,294,2004
17,21,"238",2746549,64841,2004
17,21,"2381",482505,10300,2004
17,21,"2382",429541,9846,2004
17,21,"23821",160414,3993,2004
17,21,"23822",200613,4014,2004
17,21,"23829",13532,298,2004
17,21,"2383",1076148,27985,2004
17,21,"2389",756419,16569,2004
17,21,"484",1472722,18906,2004
17,21,"4841",1672228,21229,2004
17,21,"48411",548274,7839,2004
17,21,"4842",97526,1393,2004
17,21,"4853",294644,11060,2004
17,23,"23",5020463,96951,2004
17,23,"236",1868887,25572,2004
17,23,"2361",1708839,22752,2004
17,23,"237",137824,1222,2004
17,23,"2372",71492,375,2004
17,23,"23721",71492,375,2004
17,23,"2373",4117,89,2004
17,23,"23731",4117,89,2004
17,23,"2379",22994,294,2004
17,23,"23799",22994,294,2004
17,23,"238",2746549,64841,2004
17,23,"2381",482505,10300,2004
17,23,"2382",429541,9846,2004
17,23,"23821",160414,3993,2004
17,23,"23822",200613,4014,2004
17,23,"2383",1076148,27985,2004
17,23,"2389",756419,16569,2004
17,23,"484",1472722,18906,2004
17,23,"4841",1672228,21229,2004
17,23,"48411",548274,7839,2004
17,23,"4842",97526,1393,2004
17,25,"23",5020463,96951,2004
17,25,"236",1868887,25572,2004
17,25,"2361",1708839,22752,2004
17,25,"237",137824,1222,2004
17,25,"2371",1572,48,2004
17,25,"2379",22994,294,2004
17,25,"23799",22994,294,2004
17,25,"238",2746549,64841,2004
17,25,"2381",482505,10300,2004
17,25,"2382",429541,9846,2004
17,25,"23821",160414,3993,2004
17,25,"23822",200613,4014,2004
17,25,"23829",13532,298,2004
17,25,"2383",1076148,27985,2004
17,25,"2389",756419,16569,2004
17,25,"484",1472722,18906,2004
17,25,"4841",1672228,21229,2004
17,25,"48411",548274,7839,2004
17,25,"4842",97526,1393,2004
17,27,"23",5020463,96951,2004
17,27,"236",1868887,25572,2004
17,27,"2361",1708839,22752,2004
17,27,"237",137824,1222,2004
17,27,"2372",71492,375,2004
17,27,"23721",71492,375,2004
17,27,"2373",4117,89,2004
17,27,"23731",4117,89,2004
17,27,"2379",22994,294,2004
17,27,"23799",22994,294,2004
17,27,"238",2746549,64841,2004
17,27,"2381",482505,10300,2004
17,27,"2382",429541,9846,2004
17,27,"23821",160414,3993,2004
17,27,"23822",200613,4014,2004
17,27,"23829",13532,298,2004
17,27,"2383",1076148,27985,2004
17,27,"2389",756419,16569,2004
17,27,"484",1472722,18906,2004
17,27,"4841",1672228,21229,2004
17,27,"48411",548274,7839,2004
17,27,"4842",97526,1393,2004
17,27,"4853",294644,11060,2004
17,29,"23",5020463,96951,2004
17,29,"236",1868887,25572,2004
17,29,"2361",1708839,22752,2004
