"ST","NAICS","Total_RCPTOT","Total_ESTAB","Year"
30,"236",324963,4312,2006
30,"2361",296819,3895,2006
30,"237",43428,430,2006
30,"2379",14511,210,2006
30,"23799",14511,210,2006
30,"238",393737,8657,2006
30,"2381",70383,1332,2006
30,"2382",43042,793,2006
30,"23821",16066,359,2006
30,"23822",20512,317,2006
30,"23829",2599,50,2006
30,"2383",134767,3370,2006
30,"2389",143963,3112,2006
30,"484",198959,1923,2006
30,"4841",181187,1702,2006
30,"48411",36308,501,2006
30,"4842",16091,200,2006
30,"2373",4395,47,2006
30,"23731",4395,47,2006
30,"2372",17953,98,2006
30,"23721",17953,98,2006
30,"4853",1273,25,2006
30,"2371",846,22,2006
39,"23",4800105,95881,2006
39,"236",1587540,22136,2006
39,"2361",1397654,19011,2006
39,"237",187525,1948,2006
39,"2371",11470,238,2006
39,"2372",120858,689,2006
39,"23721",120858,689,2006
39,"2373",6015,173,2006
39,"23731",6015,173,2006
39,"2379",37272,619,2006
39,"23799",37272,619,2006
39,"238",3022660,71773,2006
39,"2381",627172,13325,2006
39,"2382",412372,9378,2006
39,"23821",145026,4069,2006
39,"23822",239112,4686,2006
39,"23829",25389,572,2006
39,"2383",1067032,28327,2006
39,"2389",910937,20649,2006
39,"484",1927763,23001,2006
39,"4841",1754259,20771,2006
39,"48411",497795,7279,2006
39,"4842",173392,2228,2006
39,"4853",45534,2362,2006
42,"23",5909423,99211,2006
42,"236",1896962,22973,2006
42,"2361",1711642,20200,2006
42,"237",166799,1655,2006
42,"2371",6525,183,2006
42,"2372",96520,556,2006
42,"23721",96520,556,2006
42,"2373",10789,179,2006
42,"23731",10789,179,2006
42,"2379",45802,622,2006
42,"23799",45802,622,2006
42,"238",3845481,74579,2006
42,"2381",647848,11206,2006
42,"2382",653919,11938,2006
42,"23821",251711,5670,2006
42,"23822",364767,5574,2006
42,"23829",36785,669,2006
42,"2383",1323905,28497,2006
42,"2389",1219809,22938,2006
42,"484",1674793,17224,2006
42,"4841",1524544,15655,2006
42,"48411",482019,5992,2006
42,"4842",149977,1565,2006
42,"4853",108499,3782,2006
17,"23",5722095,104878,2007
17,"236",2504171,33615,2007
17,"2361",2316760,30618,2007
17,"237",144129,1597,2007
17,"2372",77256,474,2007
17,"23721",77256,474,2007
17,"2373",11653,220,2007
17,"23731",11653,220,2007
17,"2379",35371,590,2007
17,"23799",35371,590,2007
17,"238",3067694,69548,2007
17,"2381",487307,10267,2007
17,"2382",551877,11736,2007
17,"23821",245328,5654,2007
17,"23822",272949,5320,2007
17,"23829",27960,596,2007
17,"2383",1160514,29466,2007
17,"2389",863491,17982,2007
17,"484",2396611,28714,2007
17,"4841",2265343,26834,2007
17,"48411",682510,9333,2007
17,"4842",124973,1801,2007
17,"4853",399829,13454,2007
17,"2371",8043,125,2007
30,"23",799918,13824,2007
30,"236",336094,4461,2007
30,"2361",304632,4023,2007
30,"237",38675,352,2007
